iter 00089 | success 0.543 | cost 82.8 | policy_loss -0.00004 | value_loss 2577.99934 | Vmean -146.726 | Rmean -153.381 | Vrmse 71.432 | VexpVar 0.843 | adv_std 71.121 | elapsed 50.52s
iter 00090 | success 0.530 | cost 85.2 | policy_loss -0.00004 | value_loss 2766.88893 | Vmean -143.759 | Rmean -149.516 | Vrmse 73.151 | VexpVar 0.840 | adv_std 72.924 | elapsed 49.67s
iter 00091 | success 0.531 | cost 82.4 | policy_loss -0.00001 | value_loss 2801.74893 | Vmean -151.014 | Rmean -152.868 | Vrmse 72.983 | VexpVar 0.839 | adv_std 72.960 | elapsed 50.57s
iter 00092 | success 0.534 | cost 83.3 | policy_loss -0.00004 | value_loss 2617.47714 | Vmean -149.027 | Rmean -154.725 | Vrmse 71.974 | VexpVar 0.841 | adv_std 71.748 | elapsed 49.41s
iter 00093 | success 0.531 | cost 83.6 | policy_loss -0.00010 | value_loss 2643.80705 | Vmean -147.798 | Rmean -155.472 | Vrmse 72.359 | VexpVar 0.841 | adv_std 71.951 | elapsed 50.32s
iter 00094 | success 0.518 | cost 82.0 | policy_loss -0.00004 | value_loss 2711.55843 | Vmean -145.861 | Rmean -152.613 | Vrmse 72.839 | VexpVar 0.842 | adv_std 72.525 | elapsed 50.13s
iter 00095 | success 0.532 | cost 81.1 | policy_loss -0.00001 | value_loss 2728.06004 | Vmean -150.887 | Rmean -155.307 | Vrmse 71.989 | VexpVar 0.842 | adv_std 71.853 | elapsed 50.45s
iter 00096 | success 0.533 | cost 82.3 | policy_loss -0.00002 | value_loss 2660.22058 | Vmean -142.761 | Rmean -152.829 | Vrmse 72.341 | VexpVar 0.845 | adv_std 71.637 | elapsed 49.77s
iter 00097 | success 0.528 | cost 80.7 | policy_loss -0.00004 | value_loss 2679.61511 | Vmean -150.694 | Rmean -155.868 | Vrmse 72.285 | VexpVar 0.842 | adv_std 72.100 | elapsed 49.08s
iter 00098 | success 0.542 | cost 82.0 | policy_loss -0.00002 | value_loss 2643.82288 | Vmean -156.040 | Rmean -158.182 | Vrmse 72.135 | VexpVar 0.840 | adv_std 72.103 | elapsed 49.40s
iter 00099 | success 0.540 | cost 81.9 | policy_loss -0.00001 | value_loss 2621.84540 | Vmean -156.005 | Rmean -157.578 | Vrmse 72.215 | VexpVar 0.840 | adv_std 72.197 | elapsed 49.83s
iter 00100 | success 0.531 | cost 81.5 | policy_loss -0.00003 | value_loss 2589.29979 | Vmean -153.437 | Rmean -156.855 | Vrmse 71.828 | VexpVar 0.842 | adv_std 71.747 | elapsed 50.24s
iter 00101 | success 0.543 | cost 81.5 | policy_loss -0.00003 | value_loss 2675.33424 | Vmean -154.235 | Rmean -158.304 | Vrmse 72.001 | VexpVar 0.842 | adv_std 71.886 | elapsed 51.66s
iter 00102 | success 0.544 | cost 81.7 | policy_loss -0.00005 | value_loss 2661.01169 | Vmean -159.981 | Rmean -159.330 | Vrmse 72.225 | VexpVar 0.839 | adv_std 72.223 | elapsed 49.88s
iter 00103 | success 0.548 | cost 81.5 | policy_loss -0.00003 | value_loss 2670.42525 | Vmean -162.696 | Rmean -161.176 | Vrmse 72.166 | VexpVar 0.839 | adv_std 72.150 | elapsed 50.10s
iter 00104 | success 0.533 | cost 80.0 | policy_loss -0.00007 | value_loss 2733.38127 | Vmean -162.453 | Rmean -162.255 | Vrmse 73.067 | VexpVar 0.836 | adv_std 73.067 | elapsed 49.80s
iter 00105 | success 0.536 | cost 80.7 | policy_loss -0.00004 | value_loss 2726.45473 | Vmean -159.132 | Rmean -162.538 | Vrmse 72.994 | VexpVar 0.836 | adv_std 72.914 | elapsed 49.49s
iter 00106 | success 0.543 | cost 81.3 | policy_loss -0.00003 | value_loss 2675.06526 | Vmean -154.990 | Rmean -161.070 | Vrmse 72.069 | VexpVar 0.840 | adv_std 71.812 | elapsed 49.68s
iter 00107 | success 0.535 | cost 79.4 | policy_loss -0.00001 | value_loss 2651.61522 | Vmean -153.968 | Rmean -161.243 | Vrmse 71.710 | VexpVar 0.843 | adv_std 71.340 | elapsed 49.33s
iter 00108 | success 0.538 | cost 80.3 | policy_loss -0.00002 | value_loss 2687.00441 | Vmean -155.240 | Rmean -160.743 | Vrmse 72.039 | VexpVar 0.842 | adv_std 71.828 | elapsed 49.28s
iter 00109 | success 0.545 | cost 77.9 | policy_loss -0.00001 | value_loss 2705.74097 | Vmean -165.310 | Rmean -166.581 | Vrmse 71.825 | VexpVar 0.838 | adv_std 71.814 | elapsed 48.60s
iter 00110 | success 0.533 | cost 80.0 | policy_loss -0.00004 | value_loss 2750.56355 | Vmean -167.538 | Rmean -163.872 | Vrmse 72.913 | VexpVar 0.835 | adv_std 72.821 | elapsed 48.41s
iter 00111 | success 0.537 | cost 81.1 | policy_loss -0.00003 | value_loss 2785.24669 | Vmean -173.371 | Rmean -165.832 | Vrmse 74.383 | VexpVar 0.829 | adv_std 74.000 | elapsed 49.18s
