iter 00055 | success 0.019 | cost 15.5 | energy 97.4 | actor_loss 0.35483 | energy_loss 661.68792 | reach_loss 44370637.25000 | mean_bound_loss 3.08391 | entropy 2.1773 | gamma_reach 0.999535 | ent_coef 0.00073 | elapsed 28.66s
iter 00056 | success 0.037 | cost 69.2 | energy 287.0 | actor_loss 0.35732 | energy_loss 592.29388 | reach_loss 55624922.30000 | mean_bound_loss 2.07545 | entropy 2.1767 | gamma_reach 0.999545 | ent_coef 0.00072 | elapsed 28.23s
iter 00057 | success 0.050 | cost 69.3 | energy 289.1 | actor_loss 0.34975 | energy_loss 603.85959 | reach_loss 46595670.05000 | mean_bound_loss 1.48708 | entropy 2.1771 | gamma_reach 0.999554 | ent_coef 0.00072 | elapsed 27.91s
iter 00058 | success 0.083 | cost 71.6 | energy 296.2 | actor_loss 0.33603 | energy_loss 513.72736 | reach_loss 48576737.20000 | mean_bound_loss 1.41478 | entropy 2.1774 | gamma_reach 0.999564 | ent_coef 0.00072 | elapsed 28.25s
iter 00059 | success 0.143 | cost 71.0 | energy 305.8 | actor_loss 0.36096 | energy_loss 354.80531 | reach_loss 34454794.60000 | mean_bound_loss 1.65508 | entropy 2.1774 | gamma_reach 0.999574 | ent_coef 0.00071 | elapsed 28.46s
iter 00060 | success 0.143 | cost 68.6 | energy 295.3 | actor_loss 0.35156 | energy_loss 174.62617 | reach_loss 35308861.95000 | mean_bound_loss 1.62279 | entropy 2.1774 | gamma_reach 0.999584 | ent_coef 0.00071 | elapsed 28.48s
debug 00060 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.9619 | energy_min_ratio 0.4939 | energy_neg_ratio 0.7735 | e_cons [5.889e+00, 8.000e+00] | first_emin_step 101.73 | act_clip_ratio 0.6378 | act_abs [3.368e+00, 1.817e+01] | act_mean_abs [3.302e+00, 1.690e+01] | act_mean_clip_ratio 0.6022 | clipped_act_abs [7.972e-01, 1.000e+00] | init_energy [-4.000e+02, 2.052e+02, 7.999e+02] | v_reach [-2.830e+04, 4.971e+03] | t_reach [-4.998e+03, 1.687e+03] | reach_clip_ratio 0.3029 | open_ratio 0.0381 | t_done [-3.000e+02, 1.687e+03] | t_open [-4.998e+03, 7.915e+02] | v_open [-2.781e+04, 4.734e+03] | tmin_src done 0 t 199 v -2.232e+04 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -2.264e+02 | adv_total_std 1.019e+03 | adv_open_std 8.614e+02
iter 00061 | success 0.142 | cost 70.5 | energy 289.2 | actor_loss 0.35653 | energy_loss 213.11417 | reach_loss 30846968.65000 | mean_bound_loss 1.16583 | entropy 2.1774 | gamma_reach 0.999594 | ent_coef 0.00070 | elapsed 28.72s
iter 00062 | success 0.164 | cost 78.4 | energy 324.7 | actor_loss 0.37520 | energy_loss 296.20947 | reach_loss 26770505.67500 | mean_bound_loss 2.53324 | entropy 2.1773 | gamma_reach 0.999604 | ent_coef 0.00070 | elapsed 28.46s
iter 00063 | success 0.138 | cost 92.4 | energy 379.0 | actor_loss 0.37234 | energy_loss 315.33911 | reach_loss 29667529.90000 | mean_bound_loss 1.43355 | entropy 2.1767 | gamma_reach 0.999614 | ent_coef 0.00069 | elapsed 28.34s
iter 00064 | success 0.053 | cost 98.3 | energy 462.9 | actor_loss 0.37456 | energy_loss 717.53482 | reach_loss 22902912.70000 | mean_bound_loss 1.20594 | entropy 2.1773 | gamma_reach 0.999624 | ent_coef 0.00069 | elapsed 28.71s
iter 00065 | success 0.058 | cost 109.2 | energy 481.3 | actor_loss 0.37068 | energy_loss 823.96700 | reach_loss 26351540.75000 | mean_bound_loss 1.19864 | entropy 2.1772 | gamma_reach 0.999634 | ent_coef 0.00068 | elapsed 28.42s
iter 00066 | success 0.049 | cost 113.8 | energy 414.9 | actor_loss 0.37397 | energy_loss 543.78243 | reach_loss 21940688.55000 | mean_bound_loss 1.53244 | entropy 2.1766 | gamma_reach 0.999644 | ent_coef 0.00068 | elapsed 28.58s
iter 00067 | success 0.035 | cost 86.5 | energy 312.2 | actor_loss 0.34984 | energy_loss 292.49520 | reach_loss 37617333.20000 | mean_bound_loss 2.85818 | entropy 2.1765 | gamma_reach 0.999653 | ent_coef 0.00067 | elapsed 28.61s
iter 00068 | success 0.015 | cost 32.0 | energy 127.4 | actor_loss 0.34016 | energy_loss 499.37724 | reach_loss 39195632.10000 | mean_bound_loss 1.99248 | entropy 2.1774 | gamma_reach 0.999663 | ent_coef 0.00067 | elapsed 28.30s
iter 00069 | success 0.013 | cost 30.6 | energy 161.8 | actor_loss 0.35224 | energy_loss 389.96333 | reach_loss 42449265.65000 | mean_bound_loss 1.69948 | entropy 2.1774 | gamma_reach 0.999673 | ent_coef 0.00066 | elapsed 28.26s
iter 00070 | success 0.021 | cost 38.3 | energy 173.6 | actor_loss 0.34085 | energy_loss 486.81798 | reach_loss 36855777.35000 | mean_bound_loss 2.39903 | entropy 2.1774 | gamma_reach 0.999683 | ent_coef 0.00065 | elapsed 28.59s
debug 00070 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.8445 | energy_min_ratio 0.3828 | energy_neg_ratio 0.7065 | e_cons [4.389e+00, 8.000e+00] | first_emin_step 124.06 | act_clip_ratio 0.3767 | act_abs [1.139e+00, 2.226e+01] | act_mean_abs [1.029e+00, 2.104e+01] | act_mean_clip_ratio 0.3186 | clipped_act_abs [6.538e-01, 1.000e+00] | init_energy [-4.000e+02, 1.935e+02, 7.996e+02] | v_reach [-3.686e+04, 3.457e+03] | t_reach [-4.998e+03, 1.005e+03] | reach_clip_ratio 0.2392 | open_ratio 0.1555 | t_done [-3.000e+02, 1.005e+03] | t_open [-4.998e+03, 7.912e+02] | v_open [-3.399e+04, 3.314e+03] | tmin_src done 0 t 199 v -2.865e+04 next_v -5.000e+03 g 1.187e+01 h -3.000e+02 energy 1.122e+02 | adv_total_std 7.080e+02 | adv_open_std 5.966e+02
iter 00071 | success 0.133 | cost 81.1 | energy 268.6 | actor_loss 0.33197 | energy_loss 247.71193 | reach_loss 26232890.20000 | mean_bound_loss 2.21909 | entropy 2.1774 | gamma_reach 0.999693 | ent_coef 0.00065 | elapsed 28.51s
iter 00072 | success 0.353 | cost 88.9 | energy 311.7 | actor_loss 0.33842 | energy_loss 494.49573 | reach_loss 2765980.18750 | mean_bound_loss 2.46499 | entropy 2.1774 | gamma_reach 0.999703 | ent_coef 0.00065 | elapsed 28.40s
iter 00073 | success 0.309 | cost 92.4 | energy 316.1 | actor_loss 0.32953 | energy_loss 3124.70245 | reach_loss 3935983.46875 | mean_bound_loss 2.13591 | entropy 2.1771 | gamma_reach 0.999713 | ent_coef 0.00064 | elapsed 28.28s
iter 00074 | success 0.325 | cost 88.4 | energy 317.5 | actor_loss 0.31980 | energy_loss 1647.11212 | reach_loss 14938905.40000 | mean_bound_loss 1.95548 | entropy 2.1771 | gamma_reach 0.999723 | ent_coef 0.00064 | elapsed 27.33s
iter 00075 | success 0.260 | cost 80.2 | energy 294.2 | actor_loss 0.31309 | energy_loss 2361.73607 | reach_loss 14068305.06250 | mean_bound_loss 3.16614 | entropy 2.1774 | gamma_reach 0.999733 | ent_coef 0.00063 | elapsed 28.21s
iter 00076 | success 0.249 | cost 85.4 | energy 324.0 | actor_loss 0.31870 | energy_loss 3042.67744 | reach_loss 6825989.41875 | mean_bound_loss 3.99190 | entropy 2.1767 | gamma_reach 0.999742 | ent_coef 0.00063 | elapsed 28.43s
iter 00077 | success 0.342 | cost 86.5 | energy 338.4 | actor_loss 0.32912 | energy_loss 2008.07806 | reach_loss 5532564.37500 | mean_bound_loss 4.99314 | entropy 2.1766 | gamma_reach 0.999752 | ent_coef 0.00062 | elapsed 28.47s
iter 00078 | success 0.236 | cost 93.4 | energy 345.6 | actor_loss 0.32844 | energy_loss 1945.94566 | reach_loss 3516873.29688 | mean_bound_loss 6.16337 | entropy 2.1773 | gamma_reach 0.999762 | ent_coef 0.00061 | elapsed 28.49s
iter 00079 | success 0.212 | cost 89.2 | energy 333.0 | actor_loss 0.33162 | energy_loss 2411.16387 | reach_loss 4326281.79375 | mean_bound_loss 7.70857 | entropy 2.1774 | gamma_reach 0.999772 | ent_coef 0.00061 | elapsed 27.98s
iter 00080 | success 0.264 | cost 87.0 | energy 335.1 | actor_loss 0.33696 | energy_loss 4280.62927 | reach_loss 5223590.92500 | mean_bound_loss 3.45232 | entropy 2.1774 | gamma_reach 0.999782 | ent_coef 0.00060 | elapsed 27.97s
