iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | actor_loss 0.01973 | energy_loss 90.48900 | reach_loss 70965.86719 | mean_bound_loss 0.00000 | entropy 2.1770 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 25.35s
iter 00159 | success 0.255 | cost 119.3 | energy 403.5 | actor_loss 0.31376 | energy_loss 155.20954 | reach_loss 802525.63516 | mean_bound_loss 0.39297 | entropy 2.1718 | gamma_reach 0.999990 | ent_coef 0.00021 | elapsed 29.33s
iter 00160 | success 0.095 | cost 115.7 | energy 362.1 | actor_loss 0.32117 | energy_loss 168.60420 | reach_loss 499062.13320 | mean_bound_loss 0.38510 | entropy 2.1745 | gamma_reach 0.999990 | ent_coef 0.00020 | elapsed 29.46s
debug 00160 | std_mean 0.4997 | std_min 0.4991 | std_max 0.5000 | done_mean 0.8514 | energy_min_ratio 0.4249 | energy_neg_ratio 0.7342 | e_cons [5.067e+00, 8.000e+00] | first_emin_step 115.59 | act_clip_ratio 0.4831 | act_abs [1.418e+00, 1.397e+01] | act_mean_abs [1.335e+00, 1.348e+01] | act_mean_clip_ratio 0.4404 | clipped_act_abs [7.205e-01, 1.000e+00] | init_energy [-4.000e+02, 2.107e+02, 7.994e+02] | v_reach [-6.767e+03, 2.135e+03] | t_reach [-5.000e+03, 1.385e+03] | reach_clip_ratio 0.0018 | open_ratio 0.1486 | t_done [-3.000e+02, 1.385e+03] | t_open [-5.000e+03, 7.765e+02] | v_open [-6.565e+03, 1.958e+03] | tmin_src done 0 t 199 v -5.047e+03 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -1.278e+02 | adv_total_std 4.499e+02 | adv_open_std 3.086e+02
iter 00161 | success 0.011 | cost 13.0 | energy 84.1 | actor_loss 0.32423 | energy_loss 117.65670 | reach_loss 439139.32461 | mean_bound_loss 0.62478 | entropy 2.1760 | gamma_reach 0.999990 | ent_coef 0.00020 | elapsed 29.46s
iter 00162 | success 0.010 | cost 15.8 | energy 88.8 | actor_loss 0.31466 | energy_loss 245.00694 | reach_loss 387569.20039 | mean_bound_loss 0.62372 | entropy 2.1770 | gamma_reach 0.999990 | ent_coef 0.00019 | elapsed 29.49s
iter 00163 | success 0.013 | cost 19.9 | energy 99.7 | actor_loss 0.34356 | energy_loss 505.17207 | reach_loss 511143.08164 | mean_bound_loss 0.63489 | entropy 2.1773 | gamma_reach 0.999990 | ent_coef 0.00019 | elapsed 29.56s
iter 00164 | success 0.011 | cost 7.5 | energy 56.6 | actor_loss 0.34662 | energy_loss 222.74089 | reach_loss 497677.14570 | mean_bound_loss 0.53113 | entropy 2.1773 | gamma_reach 0.999990 | ent_coef 0.00018 | elapsed 29.71s
iter 00165 | success 0.017 | cost 18.5 | energy 119.5 | actor_loss 0.28280 | energy_loss 155.46003 | reach_loss 1479978.86719 | mean_bound_loss 0.69582 | entropy 2.1773 | gamma_reach 0.999990 | ent_coef 0.00018 | elapsed 29.08s
iter 00166 | success 0.015 | cost 17.0 | energy 105.1 | actor_loss 0.33674 | energy_loss 131.25844 | reach_loss 2319356.20312 | mean_bound_loss 0.82221 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00018 | elapsed 29.02s
iter 00167 | success 0.011 | cost 17.2 | energy 113.8 | actor_loss 0.29703 | energy_loss 105.92894 | reach_loss 3521001.22187 | mean_bound_loss 0.87955 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00017 | elapsed 28.58s
iter 00168 | success 0.011 | cost 9.7 | energy 80.1 | actor_loss 0.31351 | energy_loss 141.29753 | reach_loss 4288691.42500 | mean_bound_loss 0.99035 | entropy 2.1773 | gamma_reach 0.999990 | ent_coef 0.00016 | elapsed 28.37s
iter 00169 | success 0.012 | cost 9.1 | energy 65.7 | actor_loss 0.30974 | energy_loss 115.74937 | reach_loss 4437750.05000 | mean_bound_loss 0.60072 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00016 | elapsed 28.73s
iter 00170 | success 0.012 | cost 12.8 | energy 88.5 | actor_loss 0.30954 | energy_loss 85.06402 | reach_loss 4240837.80312 | mean_bound_loss 0.51653 | entropy 2.1771 | gamma_reach 0.999990 | ent_coef 0.00015 | elapsed 28.59s
debug 00170 | std_mean 0.4999 | std_min 0.4998 | std_max 0.5000 | done_mean 0.8418 | energy_min_ratio 0.4937 | energy_neg_ratio 0.7781 | e_cons [5.797e+00, 8.000e+00] | first_emin_step 101.77 | act_clip_ratio 0.5998 | act_abs [1.848e+00, 1.179e+01] | act_mean_abs [1.793e+00, 1.072e+01] | act_mean_clip_ratio 0.5754 | clipped_act_abs [7.918e-01, 1.000e+00] | init_energy [-3.998e+02, 2.006e+02, 7.995e+02] | v_reach [-3.652e+04, 2.015e+03] | t_reach [-5.000e+03, 9.150e+02] | reach_clip_ratio 0.0525 | open_ratio 0.1582 | t_done [-3.000e+02, 9.150e+02] | t_open [-5.000e+03, 6.712e+02] | v_open [-1.343e+04, 1.858e+03] | tmin_src done 0 t 199 v -7.371e+03 next_v -5.000e+03 g 5.021e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 4.096e+02 | adv_open_std 2.807e+02
iter 00171 | success 0.011 | cost 7.0 | energy 51.3 | actor_loss 0.30296 | energy_loss 140.12100 | reach_loss 3949965.37812 | mean_bound_loss 0.42086 | entropy 2.1772 | gamma_reach 0.999990 | ent_coef 0.00015 | elapsed 28.70s
iter 00172 | success 0.010 | cost 4.3 | energy 39.4 | actor_loss 0.30998 | energy_loss 57.22738 | reach_loss 5284653.25625 | mean_bound_loss 0.39088 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00015 | elapsed 28.52s
iter 00173 | success 0.015 | cost 6.0 | energy 51.2 | actor_loss 0.30736 | energy_loss 110.09964 | reach_loss 6152287.10625 | mean_bound_loss 0.38220 | entropy 2.1773 | gamma_reach 0.999990 | ent_coef 0.00014 | elapsed 28.64s
iter 00174 | success 0.010 | cost 10.8 | energy 61.8 | actor_loss 0.30072 | energy_loss 164.00943 | reach_loss 5969271.43750 | mean_bound_loss 0.41703 | entropy 2.1768 | gamma_reach 0.999990 | ent_coef 0.00014 | elapsed 28.78s
iter 00175 | success 0.009 | cost 12.6 | energy 69.1 | actor_loss 0.32957 | energy_loss 148.83654 | reach_loss 6604581.21875 | mean_bound_loss 0.38405 | entropy 2.1769 | gamma_reach 0.999990 | ent_coef 0.00013 | elapsed 29.03s
iter 00176 | success 0.015 | cost 9.6 | energy 72.9 | actor_loss 0.30630 | energy_loss 136.73499 | reach_loss 7615604.71250 | mean_bound_loss 0.38847 | entropy 2.1773 | gamma_reach 0.999990 | ent_coef 0.00013 | elapsed 28.81s
iter 00177 | success 0.015 | cost 14.0 | energy 84.1 | actor_loss 0.29920 | energy_loss 217.96943 | reach_loss 6754210.26250 | mean_bound_loss 0.45328 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00012 | elapsed 28.85s
iter 00178 | success 0.015 | cost 10.6 | energy 79.6 | actor_loss 0.30391 | energy_loss 57.89970 | reach_loss 7397085.53750 | mean_bound_loss 0.52633 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00012 | elapsed 29.02s
iter 00179 | success 0.015 | cost 14.8 | energy 96.3 | actor_loss 0.30294 | energy_loss 59.32637 | reach_loss 8255454.23125 | mean_bound_loss 0.37114 | entropy 2.1773 | gamma_reach 0.999990 | ent_coef 0.00011 | elapsed 28.83s
iter 00180 | success 0.009 | cost 5.4 | energy 45.6 | actor_loss 0.30217 | energy_loss 130.95035 | reach_loss 8383892.46875 | mean_bound_loss 0.37922 | entropy 2.1773 | gamma_reach 0.999990 | ent_coef 0.00011 | elapsed 28.49s
debug 00180 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.8133 | energy_min_ratio 0.5108 | energy_neg_ratio 0.7841 | e_cons [6.058e+00, 8.000e+00] | first_emin_step 98.34 | act_clip_ratio 0.6482 | act_abs [1.963e+00, 1.165e+01] | act_mean_abs [1.913e+00, 1.118e+01] | act_mean_clip_ratio 0.6308 | clipped_act_abs [8.163e-01, 1.000e+00] | init_energy [-3.997e+02, 2.012e+02, 7.994e+02] | v_reach [-4.658e+04, 1.797e+03] | t_reach [-5.000e+03, 1.044e+03] | reach_clip_ratio 0.0828 | open_ratio 0.1867 | t_done [-3.000e+02, 1.044e+03] | t_open [-5.000e+03, 7.580e+02] | v_open [-2.532e+04, 1.783e+03] | tmin_src done 0 t 199 v -1.655e+04 next_v -5.000e+03 g 4.608e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 3.807e+02 | adv_open_std 3.089e+02
iter 00181 | success 0.011 | cost 5.2 | energy 40.9 | actor_loss 0.29781 | energy_loss 144.53537 | reach_loss 8778742.99375 | mean_bound_loss 0.32017 | entropy 2.1769 | gamma_reach 0.999990 | ent_coef 0.00010 | elapsed 28.99s
iter 00182 | success 0.010 | cost 3.7 | energy 35.7 | actor_loss 0.29327 | energy_loss 215.25099 | reach_loss 9428625.30000 | mean_bound_loss 0.39120 | entropy 2.1764 | gamma_reach 0.999990 | ent_coef 0.00009 | elapsed 28.96s
iter 00183 | success 0.012 | cost 8.8 | energy 72.1 | actor_loss 0.28754 | energy_loss 165.77383 | reach_loss 8362786.20000 | mean_bound_loss 0.31727 | entropy 2.1764 | gamma_reach 0.999990 | ent_coef 0.00009 | elapsed 29.00s
iter 00184 | success 0.013 | cost 15.5 | energy 115.0 | actor_loss 0.29995 | energy_loss 163.86200 | reach_loss 9884486.82500 | mean_bound_loss 0.36343 | entropy 2.1766 | gamma_reach 0.999990 | ent_coef 0.00009 | elapsed 29.01s
iter 00185 | success 0.010 | cost 12.1 | energy 90.5 | actor_loss 0.33385 | energy_loss 193.69178 | reach_loss 8052594.10625 | mean_bound_loss 0.34854 | entropy 2.1764 | gamma_reach 0.999990 | ent_coef 0.00008 | elapsed 29.05s
iter 00186 | success 0.016 | cost 9.8 | energy 78.7 | actor_loss 0.29846 | energy_loss 220.90377 | reach_loss 10049813.37500 | mean_bound_loss 0.39954 | entropy 2.1771 | gamma_reach 0.999990 | ent_coef 0.00007 | elapsed 29.07s
iter 00187 | success 0.016 | cost 9.8 | energy 76.9 | actor_loss 0.30021 | energy_loss 57.98212 | reach_loss 3785487.00937 | mean_bound_loss 0.32911 | entropy 2.1773 | gamma_reach 0.999990 | ent_coef 0.00007 | elapsed 28.72s
iter 00188 | success 0.013 | cost 10.4 | energy 73.8 | actor_loss 0.29319 | energy_loss 160.19981 | reach_loss 1785748.19219 | mean_bound_loss 0.54092 | entropy 2.1771 | gamma_reach 0.999990 | ent_coef 0.00007 | elapsed 29.19s
iter 00189 | success 0.011 | cost 8.8 | energy 71.9 | actor_loss 0.32993 | energy_loss 184.90644 | reach_loss 822121.35625 | mean_bound_loss 0.62812 | entropy 2.1766 | gamma_reach 0.999990 | ent_coef 0.00006 | elapsed 29.29s
iter 00190 | success 0.012 | cost 6.5 | energy 52.0 | actor_loss 0.32676 | energy_loss 226.55035 | reach_loss 673606.66563 | mean_bound_loss 0.58848 | entropy 2.1757 | gamma_reach 0.999990 | ent_coef 0.00005 | elapsed 29.23s
debug 00190 | std_mean 0.4998 | std_min 0.4995 | std_max 0.5000 | done_mean 0.8387 | energy_min_ratio 0.5063 | energy_neg_ratio 0.7819 | e_cons [6.010e+00, 8.000e+00] | first_emin_step 99.23 | act_clip_ratio 0.6350 | act_abs [1.942e+00, 1.856e+01] | act_mean_abs [1.893e+00, 1.801e+01] | act_mean_clip_ratio 0.6213 | clipped_act_abs [8.124e-01, 1.000e+00] | init_energy [-3.997e+02, 1.959e+02, 7.998e+02] | v_reach [-1.760e+04, 1.612e+03] | t_reach [-5.000e+03, 9.650e+02] | reach_clip_ratio 0.0089 | open_ratio 0.1613 | t_done [-3.000e+02, 9.650e+02] | t_open [-5.000e+03, 7.652e+02] | v_open [-7.183e+03, 1.563e+03] | tmin_src done 0 t 199 v -5.796e+03 next_v -5.000e+03 g 5.185e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 3.234e+02 | adv_open_std 2.527e+02
iter 00191 | success 0.010 | cost 30.1 | energy 139.5 | actor_loss 0.31157 | energy_loss 37.99489 | reach_loss 419917.72930 | mean_bound_loss 0.59700 | entropy 2.1756 | gamma_reach 0.999990 | ent_coef 0.00005 | elapsed 30.02s
iter 00192 | success 0.142 | cost 74.1 | energy 317.8 | actor_loss 0.27295 | energy_loss 62.86193 | reach_loss 368632.89687 | mean_bound_loss 0.41175 | entropy 2.1765 | gamma_reach 0.999990 | ent_coef 0.00005 | elapsed 29.96s
iter 00193 | success 0.032 | cost 65.7 | energy 291.9 | actor_loss 0.32332 | energy_loss 84.32410 | reach_loss 317299.10625 | mean_bound_loss 0.73831 | entropy 2.1774 | gamma_reach 0.999990 | ent_coef 0.00004 | elapsed 29.80s
iter 00194 | success 0.020 | cost 24.9 | energy 136.3 | actor_loss 0.30243 | energy_loss 65.84792 | reach_loss 248571.95898 | mean_bound_loss 0.46608 | entropy 2.1772 | gamma_reach 0.999990 | ent_coef 0.00004 | elapsed 29.40s
iter 00195 | success 0.012 | cost 15.0 | energy 81.2 | actor_loss 0.31162 | energy_loss 63.31926 | reach_loss 216447.80762 | mean_bound_loss 0.86094 | entropy 2.1766 | gamma_reach 0.999990 | ent_coef 0.00003 | elapsed 29.36s
iter 00196 | success 0.021 | cost 44.8 | energy 181.7 | actor_loss 0.28856 | energy_loss 7.68461 | reach_loss 339421.51445 | mean_bound_loss 0.60346 | entropy 2.1755 | gamma_reach 0.999990 | ent_coef 0.00003 | elapsed 29.12s
iter 00197 | success 0.012 | cost 11.9 | energy 85.0 | actor_loss 0.31136 | energy_loss 10.55226 | reach_loss 433795.79258 | mean_bound_loss 0.49650 | entropy 2.1744 | gamma_reach 0.999990 | ent_coef 0.00002 | elapsed 29.30s
iter 00198 | success 0.010 | cost 9.7 | energy 66.9 | actor_loss 0.29354 | energy_loss 5.83647 | reach_loss 587722.57734 | mean_bound_loss 0.25657 | entropy 2.1747 | gamma_reach 0.999990 | ent_coef 0.00002 | elapsed 29.08s
iter 00199 | success 0.008 | cost 4.3 | energy 34.9 | actor_loss 0.30529 | energy_loss 9.09147 | reach_loss 951214.68047 | mean_bound_loss 0.32340 | entropy 2.1759 | gamma_reach 0.999990 | ent_coef 0.00001 | elapsed 28.71s
iter 00200 | success 0.011 | cost 10.1 | energy 77.6 | actor_loss 0.31999 | energy_loss 10.76845 | reach_loss 1282369.45625 | mean_bound_loss 0.41349 | entropy 2.1742 | gamma_reach 0.999990 | ent_coef 0.00001 | elapsed 28.66s
debug 00200 | std_mean 0.4995 | std_min 0.4986 | std_max 0.5000 | done_mean 0.8717 | energy_min_ratio 0.5373 | energy_neg_ratio 0.7937 | e_cons [6.463e+00, 8.000e+00] | first_emin_step 93.00 | act_clip_ratio 0.7148 | act_abs [2.208e+00, 1.574e+01] | act_mean_abs [2.172e+00, 1.525e+01] | act_mean_clip_ratio 0.7113 | clipped_act_abs [8.555e-01, 1.000e+00] | init_energy [-3.998e+02, 1.990e+02, 7.995e+02] | v_reach [-1.767e+04, 1.878e+03] | t_reach [-5.000e+03, 8.509e+02] | reach_clip_ratio 0.0235 | open_ratio 0.1283 | t_done [-3.000e+02, 8.509e+02] | t_open [-5.000e+03, 7.874e+02] | v_open [-1.364e+04, 1.806e+03] | tmin_src done 0 t 199 v -1.208e+04 next_v -5.000e+03 g 2.630e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 3.503e+02 | adv_open_std 2.343e+02
